,time
612,2.3906
613,2.3945
614,2.3984
615,2.4023
616,2.4062
617,2.4102
618,2.4141
619,2.418
620,2.4219
621,2.4258
622,2.4297
623,2.4336
624,2.4375
625,2.4414
626,2.4453
627,2.4492
628,2.4531
629,2.457
630,2.4609
631,2.4648
632,2.4688
633,2.4727
634,2.4766
635,2.4805
636,2.4844
637,2.4883
638,2.4922
639,2.4961
640,2.5
641,2.5039
642,2.5078
643,2.5117
644,2.5156
645,2.5195
646,2.5234
647,2.5273
648,2.5312
649,2.5352
650,2.5391
651,2.543
652,2.5469
653,2.5508
654,2.5547
655,2.5586
656,2.5625
657,2.5664
658,2.5703
659,2.5742
660,2.5781
661,2.582
662,2.5859
663,2.5898
664,2.5938
665,2.5977
666,2.6016
667,2.6055
668,2.6094
669,2.6133
670,2.6172
671,2.6211
672,2.625
673,2.6289
674,2.6328
675,2.6367
676,2.6406
677,2.6445
678,2.6484
679,2.6523
680,2.6562
681,2.6602
682,2.6641
683,2.668
684,2.6719
685,2.6758
686,2.6797
687,2.6836
688,2.6875
689,2.6914
690,2.6953
691,2.6992
692,2.7031
693,2.707
694,2.7109
695,2.7148
696,2.7188
697,2.7227
698,2.7266
699,2.7305
700,2.7344
701,2.7383
702,2.7422
703,2.7461
704,2.75
705,2.7539
706,2.7578
707,2.7617
708,2.7656
709,2.7695
710,2.7734
711,2.7773
712,2.7812
713,2.7852
714,2.7891
715,2.793
716,2.7969
717,2.8008
718,2.8047
719,2.8086
720,2.8125
721,2.8164
722,2.8203
723,2.8242
724,2.8281
725,2.832
726,2.8359
727,2.8398
728,2.8438
729,2.8477
730,2.8516
731,2.8555
732,2.8594
733,2.8633
734,2.8672
735,2.8711
736,2.875
737,2.8789
738,2.8828
739,2.8867
740,2.8906
741,2.8945
742,2.8984
743,2.9023
744,2.9062
745,2.9102
746,2.9141
747,2.918
748,2.9219
749,2.9258
750,2.9297
751,2.9336
752,2.9375
753,2.9414
754,2.9453
755,2.9492
756,2.9531
757,2.957
758,2.9609
759,2.9648
760,2.9688
761,2.9727
762,2.9766
763,2.9805
764,2.9844
765,2.9883
766,2.9922
767,2.9961
768,3.0
769,3.0039
770,3.0078
771,3.0117
772,3.0156
773,3.0195
774,3.0234
775,3.0273
776,3.0312
777,3.0352
778,3.0391
779,3.043
780,3.0469
781,3.0508
782,3.0547
783,3.0586
784,3.0625
785,3.0664
786,3.0703
787,3.0742
788,3.0781
789,3.082
790,3.0859
791,3.0898
792,3.0938
793,3.0977
794,3.1016
795,3.1055
796,3.1094
797,3.1133
798,3.1172
799,3.1211
800,3.125
801,3.1289
802,3.1328
803,3.1367
804,3.1406
805,3.1445
806,3.1484
807,3.1523
808,3.1562
809,3.1602
810,3.1641
811,3.168
812,3.1719
813,3.1758
814,3.1797
815,3.1836
816,3.1875
817,3.1914
818,3.1953
819,3.1992
820,3.2031
821,3.207
822,3.2109
823,3.2148
824,3.2188
825,3.2227
826,3.2266
827,3.2305
828,3.2344
829,3.2383
830,3.2422
831,3.2461
832,3.25
833,3.2539
834,3.2578
835,3.2617
836,3.2656
837,3.2695
838,3.2734
839,3.2773
840,3.2812
841,3.2852
842,3.2891
843,3.293
844,3.2969
845,3.3008
846,3.3047
847,3.3086
848,3.3125
849,3.3164
850,3.3203
851,3.3242
852,3.3281
853,3.332
854,3.3359
855,3.3398
856,3.3438
857,3.3477
858,3.3516
859,3.3555
860,3.3594
861,3.3633
862,3.3672
863,3.3711
864,3.375
865,3.3789
866,3.3828
867,3.3867
868,3.3906
869,3.3945
870,3.3984
871,3.4023
872,3.4062
873,3.4102
874,3.4141
875,3.418
876,3.4219
877,3.4258
878,3.4297
879,3.4336
880,3.4375
881,3.4414
882,3.4453
883,3.4492
884,3.4531
885,3.457
886,3.4609
887,3.4648
888,3.4688
889,3.4727
890,3.4766
891,3.4805
892,3.4844
893,3.4883
894,3.4922
895,3.4961
896,3.5
897,3.5039
898,3.5078
899,3.5117
900,3.5156
901,3.5195
902,3.5234
903,3.5273
904,3.5312
905,3.5352
906,3.5391
907,3.543
908,3.5469
909,3.5508
910,3.5547
911,3.5586
912,3.5625
913,3.5664
914,3.5703
915,3.5742
916,3.5781
917,3.582
918,3.5859
919,3.5898
920,3.5938
921,3.5977
922,3.6016
923,3.6055
924,3.6094
925,3.6133
926,3.6172
927,3.6211
928,3.625
929,3.6289
930,3.6328
931,3.6367
932,3.6406
933,3.6445
934,3.6484
935,3.6523
936,3.6562
937,3.6602
938,3.6641
939,3.668
940,3.6719
941,3.6758
942,3.6797
943,3.6836
944,3.6875
945,3.6914
946,3.6953
947,3.6992
948,3.7031
949,3.707
950,3.7109
951,3.7148
952,3.7188
953,3.7227
954,3.7266
955,3.7305
956,3.7344
957,3.7383
958,3.7422
959,3.7461
960,3.75
961,3.7539
962,3.7578
963,3.7617
964,3.7656
965,3.7695
966,3.7734
967,3.7773
968,3.7812
969,3.7852
970,3.7891
971,3.793
972,3.7969
973,3.8008
974,3.8047
975,3.8086
976,3.8125
977,3.8164
978,3.8203
979,3.8242
980,3.8281
981,3.832
982,3.8359
983,3.8398
984,3.8438
985,3.8477
986,3.8516
987,3.8555
988,3.8594
989,3.8633
990,3.8672
991,3.8711
992,3.875
993,3.8789
994,3.8828
995,3.8867
996,3.8906
997,3.8945
998,3.8984
999,3.9023
1000,3.9062
1001,3.9102
1002,3.9141
1003,3.918
1004,3.9219
1005,3.9258
1006,3.9297
1007,3.9336
1008,3.9375
1009,3.9414
1010,3.9453
1011,3.9492
1012,3.9531
1013,3.957
1014,3.9609
1015,3.9648
1016,3.9688
1017,3.9727
1018,3.9766
1019,3.9805
1020,3.9844
1021,3.9883
1022,3.9922
1023,3.9961
1024,4.0
1025,4.0039
1026,4.0078
